_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d906dbcb30ffd007776,2011-2012 Inicio,Zona 8,GUAYAS,9,SAMBORONDON,916,TARIFA,91651,NUEVO RUMBO,09H04710,Ordinario,Municipal,Rural,Costa,Intercultural,2,0,2,13,9,22,22,0,0,0,0,0
67900d906dbcb30ffd007835,2011-2012 Inicio,Zona 5,GUAYAS,9,SALITRE,919,LA VICTORIA (ÑAUZA),91952,LA IBERIA,09H04912,Ordinario,Municipal,Rural,Costa,Intercultural,1,0,1,7,13,20,20,0,0,0,0,0
67900d906dbcb30ffd007848,2011-2012 Inicio,Zona 5,GUAYAS,9,SALITRE,919,JUNQUILLAL,91953,9 DE ABRIL,09H04933,Ordinario,Municipal,Rural,Costa,Intercultural,0,1,1,12,11,23,23,0,0,0,0,0
67900d906dbcb30ffd00786f,2011-2012 Inicio,Zona 5,GUAYAS,9,SIMON BOLIVAR,922,CORONEL LORENZO DE GARAYCOA (PEDREGAL),92251,ESCUELA QUITO LUZ DE AMERICA,09H04977,Ordinario,Municipal,Rural,Costa,Intercultural,1,0,1,1,8,9,9,0,0,0,0,0
67900d906dbcb30ffd00788b,2011-2012 Inicio,Zona 5,GUAYAS,9,SAN JACINTO DE YAGUACHI,920,GENERAL PEDRO J. MONTERO (BOLICHE),92053,NUEVA ESPERANZA,09H05006,Ordinario,Municipal,Rural,Costa,Intercultural,1,0,1,13,17,30,30,0,0,0,0,0
67900d906dbcb30ffd0078a8,2011-2012 Inicio,Zona 5,GUAYAS,9,SAN JACINTO DE YAGUACHI,920,VIRGEN DE FATIMA,92056,7 DE AGOSTO,09H05035,Ordinario,Municipal,Rural,Costa,Intercultural,4,2,6,51,82,133,133,0,0,0,0,0
67900d906dbcb30ffd0078f6,2011-2012 Inicio,Zona 5,GUAYAS,9,SIMON BOLIVAR,922,SIMON BOLIVAR,92250,LEONIDAS GARCIA,09H05125,Popular Permanente,Municipal,Urbana,Costa,Intercultural,1,0,1,9,8,17,17,0,0,0,0,0
67900d906dbcb30ffd007905,2011-2012 Inicio,Zona 5,GUAYAS,9,CORONEL MARCELINO MARIDUEÑA,923,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS),92350,MARCELA MARIDUEÑA,09H05141,Ordinario,Municipal,Urbana,Costa,Intercultural,5,1,6,47,45,92,92,0,0,0,0,0
67900d906dbcb30ffd007912,2011-2012 Inicio,Zona 5,GUAYAS,9,NOBOL,925,NARCISA DE JESUS,92550,LEONARDO RAMIREZ AMPUERO,09H05156,Ordinario,Municipal,Urbana,Costa,Intercultural,8,6,14,75,89,164,164,0,0,0,0,0
67900d906dbcb30ffd007938,2011-2012 Inicio,Zona 5,GUAYAS,9,ISIDRO AYORA,928,ISIDRO AYORA,92850,PRIMERO DE MAYO,09H05199,Ordinario,Municipal,Urbana,Costa,Intercultural,0,0,0,8,12,20,20,0,0,0,0,0
67900d906dbcb30ffd00793a,2011-2012 Inicio,Zona 5,GUAYAS,9,ISIDRO AYORA,928,ISIDRO AYORA,92850,PRIMERO DE MAYO,09H05201,Popular Permanente,Municipal,Urbana,Costa,Intercultural,1,0,1,8,12,20,20,0,0,0,0,0
67900d906dbcb30ffd0079a0,2011-2012 Inicio,Zona 5,GUAYAS,9,SALITRE,919,GENERAL VERNAZA (DOS ESTEROS),91951,C.E. AMADO OLVERA,09H05326,Ordinario,Municipal,Rural,Costa,Intercultural,0,1,1,8,10,18,18,0,0,0,0,0
67900d906dbcb30ffd0079a1,2011-2012 Inicio,Zona 5,GUAYAS,9,SIMON BOLIVAR,922,SIMON BOLIVAR,92250,WASHINGTON FLORES ORELLANA,09H05327,Ordinario,Municipal,Urbana,Costa,Intercultural,2,0,2,18,25,43,43,0,0,0,0,0
